central atom,neighboring atom
1,1
1,29
2,2
2,30
3,3
3,31
4,4
4,32
5,5
5,33
6,6
6,34
7,7
7,35
8,8
8,36
9,9
9,25
10,10
10,26
11,11
11,27
12,12
12,28
13,13
13,25
14,14
14,26
15,15
15,27
16,16
16,28
17,17
17,33
18,18
18,34
19,19
19,35
20,20
20,36
21,21
21,29
22,22
22,30
23,23
23,31
24,24
24,32
25,9
25,13
25,25
25,29
26,10
26,14
26,26
26,30
27,11
27,15
27,27
27,31
28,12
28,16
28,28
28,32
29,1
29,21
29,25
29,29
30,2
30,22
30,26
30,30
31,3
31,23
31,27
31,31
32,4
32,24
32,28
32,32
33,5
33,17
33,33
33,34
34,6
34,18
34,33
34,34
35,7
35,19
35,35
35,36
36,8
36,20
36,35
36,36
37,37
38,38
39,39
40,40
